country,date,tot_cases,cumulative_cases,days_elapsed,end_date,end_label
China,2020-01-22,17,17,0,FALSE,NA
China,2020-01-23,1,18,1,FALSE,NA
China,2020-01-24,8,26,2,FALSE,NA
China,2020-01-25,16,42,3,FALSE,NA
China,2020-01-26,14,56,4,FALSE,NA
China,2020-01-27,26,82,5,FALSE,NA
China,2020-01-28,49,131,6,FALSE,NA
China,2020-01-29,2,133,7,FALSE,NA
China,2020-01-30,38,171,8,FALSE,NA
China,2020-01-31,42,213,9,FALSE,NA
China,2020-02-01,46,259,10,FALSE,NA
China,2020-02-02,102,361,11,FALSE,NA
China,2020-02-03,64,425,12,FALSE,NA
China,2020-02-04,66,491,13,FALSE,NA
China,2020-02-05,72,563,14,FALSE,NA
China,2020-02-06,70,633,15,FALSE,NA
China,2020-02-07,85,718,16,FALSE,NA
China,2020-02-08,87,805,17,FALSE,NA
China,2020-02-09,100,905,18,FALSE,NA
China,2020-02-10,107,1012,19,FALSE,NA
China,2020-02-11,100,1112,20,FALSE,NA
China,2020-02-12,5,1117,21,FALSE,NA
China,2020-02-13,252,1369,22,FALSE,NA
China,2020-02-14,152,1521,23,FALSE,NA
China,2020-02-15,142,1663,24,FALSE,NA
China,2020-02-16,103,1766,25,FALSE,NA
China,2020-02-17,98,1864,26,FALSE,NA
China,2020-02-18,139,2003,27,FALSE,NA
China,2020-02-19,113,2116,28,FALSE,NA
China,2020-02-20,122,2238,29,FALSE,NA
China,2020-02-21,0,2238,30,FALSE,NA
China,2020-02-22,205,2443,31,FALSE,NA
China,2020-02-23,2,2445,32,FALSE,NA
China,2020-02-24,150,2595,33,FALSE,NA
China,2020-02-25,70,2665,34,FALSE,NA
China,2020-02-26,52,2717,35,FALSE,NA
China,2020-02-27,29,2746,36,FALSE,NA
China,2020-02-28,44,2790,37,FALSE,NA
China,2020-02-29,47,2837,38,FALSE,NA
China,2020-03-01,35,2872,39,FALSE,NA
China,2020-03-02,42,2914,40,FALSE,NA
China,2020-03-03,33,2947,41,FALSE,NA
China,2020-03-04,36,2983,42,FALSE,NA
China,2020-03-05,32,3015,43,FALSE,NA
China,2020-03-06,29,3044,44,FALSE,NA
China,2020-03-07,28,3072,45,FALSE,NA
France,2020-03-07,7,16,0,FALSE,NA
China,2020-03-08,28,3100,46,FALSE,NA
France,2020-03-08,3,19,1,FALSE,NA
UK,2020-03-08,2,11,0,FALSE,NA
China,2020-03-09,23,3123,47,FALSE,NA
France,2020-03-09,6,25,2,FALSE,NA
UK,2020-03-09,5,16,1,FALSE,NA
China,2020-03-10,16,3139,48,FALSE,NA
France,2020-03-10,8,33,3,FALSE,NA
UK,2020-03-10,3,19,2,FALSE,NA
China,2020-03-11,22,3161,49,FALSE,NA
France,2020-03-11,15,48,4,FALSE,NA
UK,2020-03-11,7,26,3,FALSE,NA
China,2020-03-12,11,3172,50,FALSE,NA
France,2020-03-12,0,48,5,FALSE,NA
UK,2020-03-12,13,39,4,FALSE,NA
China,2020-03-13,8,3180,51,FALSE,NA
France,2020-03-13,31,79,6,FALSE,NA
UK,2020-03-13,16,55,5,FALSE,NA
China,2020-03-14,13,3193,52,FALSE,NA
France,2020-03-14,12,91,7,FALSE,NA
UK,2020-03-14,21,76,6,FALSE,NA
China,2020-03-15,11,3204,53,FALSE,NA
France,2020-03-15,0,91,8,FALSE,NA
UK,2020-03-15,31,107,7,FALSE,NA
China,2020-03-16,15,3219,54,FALSE,NA
France,2020-03-16,58,149,9,FALSE,NA
UK,2020-03-16,52,159,8,FALSE,NA
China,2020-03-17,13,3232,55,FALSE,NA
France,2020-03-17,0,149,10,FALSE,NA
UK,2020-03-17,58,217,9,FALSE,NA
China,2020-03-18,11,3243,56,FALSE,NA
France,2020-03-18,0,149,11,FALSE,NA
UK,2020-03-18,74,291,10,FALSE,NA
China,2020-03-19,8,3251,57,FALSE,NA
France,2020-03-19,95,244,12,FALSE,NA
UK,2020-03-19,79,370,11,FALSE,NA
China,2020-03-20,4,3255,58,FALSE,NA
France,2020-03-20,207,451,13,FALSE,NA
UK,2020-03-20,118,488,12,FALSE,NA
China,2020-03-21,7,3262,59,FALSE,NA
France,2020-03-21,112,563,14,FALSE,NA
UK,2020-03-21,144,632,13,FALSE,NA
China,2020-03-22,15,3277,60,FALSE,NA
France,2020-03-22,113,676,15,FALSE,NA
Turkey,2020-03-22,21,30,0,FALSE,NA
UK,2020-03-22,182,814,14,FALSE,NA
China,2020-03-23,2,3279,61,FALSE,NA
France,2020-03-23,186,862,16,FALSE,NA
Turkey,2020-03-23,7,37,1,FALSE,NA
UK,2020-03-23,208,1022,15,FALSE,NA
China,2020-03-24,7,3286,62,FALSE,NA
France,2020-03-24,240,1102,17,FALSE,NA
Turkey,2020-03-24,7,44,2,FALSE,NA
UK,2020-03-24,263,1285,16,FALSE,NA
China,2020-03-25,4,3290,63,FALSE,NA
France,2020-03-25,231,1333,18,FALSE,NA
Turkey,2020-03-25,15,59,3,FALSE,NA
UK,2020-03-25,337,1622,17,FALSE,NA
China,2020-03-26,9,3299,64,FALSE,NA
France,2020-03-26,364,1697,19,FALSE,NA
Turkey,2020-03-26,16,75,4,FALSE,NA
UK,2020-03-26,413,2035,18,FALSE,NA
China,2020-03-27,5,3304,65,FALSE,NA
France,2020-03-27,299,1996,20,FALSE,NA
Turkey,2020-03-27,17,92,5,FALSE,NA
UK,2020-03-27,464,2499,19,FALSE,NA
